 num     #instances         #bytes  class name
 135:             2             32  sun.net.www.protocol.jar.Handler
 136:             1             32  sun.nio.cs.StandardCharsets
 137:             1             24  [Ljava.io.File$PathStatus;
 138:             1             24  [Ljava.lang.ClassValue$Entry;
 139:             1             24  [Ljava.util.regex.Pattern$Node;
 140:             1             24  [Lsun.launcher.LauncherHelper;
 141:             1             24  java.io.ByteArrayOutputStream
 142:             1             24  java.io.FilePermissionCollection
 143:             1             24  java.lang.ClassValue$Version
 144:             1             24  java.lang.StringBuilder
 145:             1             24  java.lang.ThreadLocal$ThreadLocalMap
 146:             1             24  java.lang.invoke.MethodHandleImpl$4
 147:             1             24  java.lang.reflect.ReflectPermission
 148:             1             24  java.util.BitSet
 149:             1             24  java.util.Collections$EmptyMap
 150:             1             24  java.util.Collections$SetFromMap
 151:             1             24  java.util.Collections$UnmodifiableRandomAccessList
 152:             1             24  java.util.Locale$Cache
 153:             1             24  java.util.regex.Pattern$Single
 154:             1             24  sun.launcher.LauncherHelper
 155:             1             24  sun.misc.JarIndex
 156:             1             24  sun.nio.cs.ISO_8859_1
 157:             1             24  sun.nio.cs.ThreadLocalCoders$1
 158:             1             24  sun.nio.cs.ThreadLocalCoders$2
 159:             1             24  sun.nio.cs.US_ASCII
 160:             1             24  sun.nio.cs.UTF_16
 161:             1             24  sun.nio.cs.UTF_16BE
 162:             1             24  sun.nio.cs.UTF_16LE
 163:             1             24  sun.nio.cs.UTF_8
 164:             1             24  sun.security.util.DisabledAlgorithmConstraints
 165:             1             24  sun.util.locale.BaseLocale$Cache
 166:             1             16  [Ljava.lang.Throwable;
 167:             1             16  [Ljava.security.CodeSigner;
 168:             1             16  [Ljava.security.cert.Certificate;
 169:             1             16  com.epam.jmp.mat.heap.Process
 170:             1             16  java.io.FileDescriptor$1
 171:             1             16  java.lang.CharacterDataLatin1
 172:             1             16  java.lang.ClassValue$Identity
 173:             1             16  java.lang.Runtime
 174:             1             16  java.lang.String$CaseInsensitiveComparator
 175:             1             16  java.lang.System$2
 176:             1             16  java.lang.Terminator$1
 177:             1             16  java.lang.invoke.MemberName$Factory
 178:             1             16  java.lang.invoke.MethodHandleImpl$2
 179:             1             16  java.lang.invoke.MethodHandleImpl$3
 180:             1             16  java.lang.ref.Reference$1
 181:             1             16  java.lang.ref.Reference$Lock
 182:             1             16  java.lang.reflect.ReflectAccess
 183:             1             16  java.net.URLClassLoader$7
 184:             1             16  java.nio.Bits$1
 185:             1             16  java.nio.charset.CoderResult$1
 186:             1             16  java.nio.charset.CoderResult$2
 187:             1             16  java.security.ProtectionDomain$2
 188:             1             16  java.security.ProtectionDomain$JavaSecurityAccessImpl
 189:             1             16  java.util.Collections$EmptyList
 190:             1             16  java.util.Collections$EmptySet
 191:             1             16  java.util.Hashtable$EntrySet
 192:             1             16  java.util.WeakHashMap$KeySet
 193:             1             16  java.util.concurrent.atomic.AtomicBoolean
 194:             1             16  java.util.jar.JarVerifier$3
 195:             1             16  java.util.jar.JavaUtilJarAccessImpl
 196:             1             16  java.util.regex.Pattern$4
 197:             1             16  java.util.regex.Pattern$BranchConn
 198:             1             16  java.util.regex.Pattern$LastNode
 199:             1             16  java.util.regex.Pattern$Node
 200:             1             16  java.util.zip.ZipFile$1
 201:             1             16  sun.misc.ASCIICaseInsensitiveComparator
 202:             1             16  sun.misc.Launcher
 203:             1             16  sun.misc.Launcher$Factory
 204:             1             16  sun.misc.Perf
 205:             1             16  sun.misc.Unsafe
 206:             1             16  sun.net.www.protocol.file.Handler
 207:             1             16  sun.reflect.ReflectionFactory
 208:             1             16  sun.security.util.AlgorithmDecomposer
 209:             1             16  sun.security.util.DisabledAlgorithmConstraints$Constraints
Total          5952         344816
